"","Site_ID","Year","Plant_genus","Plant_species","Plant.ID","Fruit.nº","Fruit.weight2","Seeds2","Seed.weight","Notes"
"1","Niebla",2015,"Cistus","monspeliensis","A1","a",0.01003,2,0.00164,NA
"2","Niebla",2015,"Cistus","monspeliensis","A2","a",0.0173,0,0,"Predado"
"3","Niebla",2015,"Cistus","monspeliensis","A2","b",0.0358,7,0.00702,NA
"4","Niebla",2015,"Cistus","monspeliensis","A2","c",0.03616,6,0.00661,NA
"5","Niebla",2015,"Cistus","crispus","A1","a",0.01689,0,0,"Predado"
"6","Niebla",2015,"Cistus","crispus","A1","b",0.03607,30,0.01269,NA
"7","Niebla",2015,"Cistus","crispus","A2","a",0.09767,47,0.02463,NA
"8","Niebla",2015,"Cistus","crispus","A2","b",0.05224,31,0.01591,NA
"9","Niebla",2015,"Cistus","crispus","A3","a",0.02037,0,0,"Predado"
"10","Niebla",2015,"Cistus","crispus","A3","b",0.02406,21,0.00725,NA
"11","Niebla",2015,"Cistus","crispus","B2","a",0.06394,44,0.01867,NA
"12","Niebla",2015,"Cistus","crispus","B2","b",0.05997,35,0.01363,NA
"13","Niebla",2015,"Cistus","crispus","B3","a",0.05822,35,0.01469,NA
"14","Niebla",2015,"Cistus","crispus","B3","b",0.05324,35,0.0151,NA
"15","Niebla",2015,"Asphodelus","fistulosus","A1","a",0.07489,5,0.02954,"1 aborto"
"16","Niebla",2015,"Asphodelus","fistulosus","A1","b",0.07043,3,0.00611,"3 abortos"
"17","Niebla",2015,"Asphodelus","fistulosus","A1","b",0.07043,3,0.01236,NA
"18","Niebla",2015,"Asphodelus","fistulosus","A1","c",0.07092,3,0.0129,"3 predados"
"19","Niebla",2015,"Asphodelus","fistulosus","A1","c",0.07092,3,0.02533,NA
"20","Niebla",2015,"Asphodelus","fistulosus","A2","a",0.089,3,0.01254,"3 predados"
"21","Niebla",2015,"Asphodelus","fistulosus","A2","a",0.089,3,0.02507,NA
"22","Niebla",2015,"Asphodelus","fistulosus","A2","b",0.10173,4,0.01397,"2 abortos"
"23","Niebla",2015,"Asphodelus","fistulosus","A2","b",0.10173,4,0.042,NA
"24","Niebla",2015,"Asphodelus","fistulosus","A3","a",0.08715,1,0.0344,NA
"25","Niebla",2015,"Asphodelus","fistulosus","A3","b",0.08618,1,0.03422,"1 aborto"
"26","Niebla",2015,"Asphodelus","fistulosus","B1","a",0.0729,6,0.03302,NA
"27","Niebla",2015,"Asphodelus","fistulosus","B1","b",0.08012,5,0.03903,NA
"28","Niebla",2015,"Asphodelus","fistulosus","B1","c",0.06977,5,0.02455,NA
"29","Niebla",2015,"Asphodelus","fistulosus","B2","a",0.05199,3,0.0265,NA
"30","Niebla",2015,"Asphodelus","fistulosus","B2","b",0.04352,0,0,"Predado"
"31","Niebla",2015,"Asphodelus","fistulosus","B2","c",0.07256,0,0,"Predado"
"32","Niebla",2015,"Asphodelus","fistulosus","B3","a",0.074,4,0.01013,"2 abortos"
"33","Niebla",2015,"Asphodelus","fistulosus","B3","a",0.074,4,0.12014,NA
"34","Niebla",2015,"Cistus","ladanifer","B1","a",0.21762,179,0.05577,NA
"35","Niebla",2015,"Cistus","ladanifer","C2","a",0.6322,733,0.22324,NA
"36","Niebla",2015,"Phlomis","purpurea","A1","a",0.0289,2,0.00376,"2 abortos"
"37","Niebla",2015,"Phlomis","purpurea","A1","a",0.0289,2,0.003901,NA
"38","Niebla",2015,"Phlomis","purpurea","A1","b",0.0266,0,0,"4 abortos"
"39","Niebla",2015,"Phlomis","purpurea","A1","c",0.04083,2,0.00394,"1 aborto"
"40","Niebla",2015,"Phlomis","purpurea","A1","c",0.04083,2,0.00387,NA
