"","Site_ID","Day","Month","Year","Round","Plot","Plant.genus","Plant.species","Flower.abundance"
"387","La Rocina",30,3,2015,4,3,"Halimium ","commutatum",70
"388","La Rocina",30,3,2015,4,3,"Rosmarinus","officinalis",30
"389","La Rocina",30,3,2015,4,3,"Spartium ","junceum",15
"390","La Rocina",30,3,2015,4,3,"Malcomia","lacera",11
"391","La Rocina",30,3,2015,4,4,"Halimium ","commutatum",40
"392","La Rocina",30,3,2015,4,4,"Malcomia","lacera",30
"393","La Rocina",30,3,2015,4,5,"Lavandula","pedunculata",130
"394","La Rocina",30,3,2015,4,5,"Halimium ","commutatum",50
"395","La Rocina",30,3,2015,4,5,"Malcomia","lacera",10
"396","La Rocina",30,3,2015,4,6,"Halimium ","commutatum",40
"397","La Rocina",30,3,2015,4,7,"Halimium ","commutatum",60
"398","La Rocina",30,3,2015,4,7,"Malcomia","lacera",6
"399","La Rocina",30,3,2015,4,8,"Lavandula","pedunculata",220
"400","La Rocina",30,3,2015,4,8,"Halimium ","commutatum",30
"401","La Rocina",30,3,2015,4,8,"Malcomia","lacera",2
"402","La Rocina",30,3,2015,4,8,"Spartium ","junceum",12
"403","La Rocina",30,3,2015,4,9,"Halimium ","commutatum",38
"404","La Rocina",30,3,2015,4,9,"Spartium ","junceum",5
"405","La Rocina",30,3,2015,4,10,"Halimium ","commutatum",66
"406","La Rocina",30,3,2015,4,10,"Spartium ","junceum",120
"407","Las mulas",30,3,2015,4,1,"Cistus ","ladanifer",3
"408","Las mulas",30,3,2015,4,1,"Ranunculus","sp",1
"409","Las mulas",30,3,2015,4,2,"Halimium ","commutatum",3
"410","Las mulas",30,3,2015,4,3,"Lavandula","stoechas",320
"411","Las mulas",30,3,2015,4,3,"Halimium ","commutatum",60
"412","Las mulas",30,3,2015,4,4,"Ranunculus","sp",6
"413","Las mulas",30,3,2015,4,4,"Lavandula","stoechas",20
"414","Las mulas",30,3,2015,4,6,"Cistus ","ladanifer",3
"415","Las mulas",30,3,2015,4,6,"Rosmarinus","officinalis",20
"416","Las mulas",30,3,2015,4,7,"Erica ","scoparia",1100
"417","Las mulas",30,3,2015,4,7,"Rosmarinus","officinalis",110
"418","Las mulas",30,3,2015,4,8,"Rosmarinus","officinalis",90
"419","Las mulas",30,3,2015,4,8,"Cistus ","ladanifer",11
"420","Las mulas",30,3,2015,4,10,"Rosmarinus","officinalis",120
"421","El pinar",31,3,2015,3,1,"Rosmarinus","officinalis",15
"422","El pinar",31,3,2015,3,2,"Cistus ","salvifolius",25
"423","El pinar",31,3,2015,3,5,"Cistus ","salvifolius",25
"424","El pinar",31,3,2015,3,8,"Lavandula","stoechas",1200
"425","Villamanrique este",31,3,2015,3,1,"Ulex","australis",80
"426","Villamanrique este",31,3,2015,3,2,"Cistus ","salvifolius",1
"427","Villamanrique este",31,3,2015,3,2,"Ulex","australis",50
"428","Villamanrique este",31,3,2015,3,3,"Rosmarinus","officinalis",10
"429","Villamanrique este",31,3,2015,3,4,"Cistus ","salvifolius",1
"430","Villamanrique este",31,3,2015,3,4,"Rosmarinus","officinalis",30
"431","Villamanrique este",31,3,2015,3,5,"Cistus ","salvifolius",3
"432","Villamanrique este",31,3,2015,3,6,"Cistus ","salvifolius",15
"433","Villamanrique este",31,3,2015,3,7,"Cistus ","salvifolius",7
"434","Villamanrique este",31,3,2015,3,9,"Cistus ","ladanifer",6
"435","Villamanrique este",31,3,2015,3,10,"Cistus ","ladanifer",3
"436","Niebla",7,4,2015,5,1,"Cistus ","monspeliensis",38
"437","Niebla",7,4,2015,5,1,"Phlomis","purpurea",4
"438","Niebla",7,4,2015,5,1,"Linaria","viscosa",3
"439","Niebla",7,4,2015,5,2,"Muscari ","comosum",2
"440","Niebla",7,4,2015,5,2,"Cistus ","monspeliensis",12
"441","Niebla",7,4,2015,5,3,"Calendula","arvensis",9
"442","Niebla",7,4,2015,5,3,"Cistus ","monspeliensis",3
"443","Niebla",7,4,2015,5,3,"Linaria","viscosa",2
"444","Niebla",7,4,2015,5,3,"Raphanus ","raphanistrum",25
"445","Niebla",7,4,2015,5,4,"Lavandula","pedunculata",62
"446","Niebla",7,4,2015,5,4,"Calendula","arvensis",4
"447","Niebla",7,4,2015,5,4,"Muscari ","comosum",3
"448","Niebla",7,4,2015,5,5,"Cistus ","monspeliensis",5
"449","Niebla",7,4,2015,5,5,"Lupinus ","angustifolius",50
"450","Niebla",7,4,2015,5,6,"Raphanus ","raphanistrum",6
"451","Niebla",7,4,2015,5,6,"Calendula","arvensis",1
"452","Niebla",7,4,2015,5,6,"Diplotaxis ","virgata",28
"453","Niebla",7,4,2015,5,7,"Cistus ","monspeliensis",2
"454","Niebla",7,4,2015,5,7,"Calendula","arvensis",1
"455","Niebla",7,4,2015,5,8,"Linaria ","viscosa",1
"456","Niebla",7,4,2015,5,9,"Cistus ","monspeliensis",3
"457","Niebla",7,4,2015,5,9,"Linaria","viscosa",2
"458","Niebla",7,4,2015,5,10,"Cistus ","monspeliensis",49
"459","Niebla",7,4,2015,5,10,"Ulex","australis",79
"460","Bonares ",7,4,2015,5,1,"Cistus ","salvifolius",17
"461","Bonares ",7,4,2015,5,2,"Halimium ","commutatum",2
"462","Bonares ",7,4,2015,5,3,"Cistus ","salvifolius",9
"463","Bonares ",7,4,2015,5,4,"Cistus ","monspeliensis",1
"464","Bonares ",7,4,2015,5,5,"Lavandula","stoechas",41
"465","Bonares ",7,4,2015,5,6,"Cistus ","salvifolius",2
"466","Bonares ",7,4,2015,5,6,"Lavandula","stoechas",17
"467","Bonares ",7,4,2015,5,7,"Cistus ","crispus",2
"468","Bonares ",7,4,2015,5,8,"Lavandula","stoechas",4
"469","Bonares ",7,4,2015,5,8,"Cistus ","salvifolius",3
"470","Bonares ",7,4,2015,5,9,"Lavandula","stoechas",4
"471","Bonares ",7,4,2015,5,10,"Cistus ","salvifolius",1
"472","Bonares ",7,4,2015,5,10,"Lavandula","stoechas",12
"473","Esparragal",7,4,2015,5,1,"Calendula","arvensis",2
"474","Esparragal",7,4,2015,5,1,"Erodium ","cicutarium",3
"475","Esparragal",7,4,2015,5,2,"Lavandula","pedunculata",16
"476","Esparragal",7,4,2015,5,2,"Ulex","australis",6
"477","Esparragal",7,4,2015,5,3,"Halimium ","commutatum",2
"478","Esparragal",7,4,2015,5,3,"Calendula","arvensis",2
"479","Esparragal",7,4,2015,5,7,"Calendula","arvensis",2
"480","Esparragal",7,4,2015,5,8,"Cistus ","salvifolius",2
"481","Esparragal",7,4,2015,5,9,"Lavandula","pedunculata",14
"482","Esparragal",7,4,2015,5,10,"Lavandula","pedunculata",153
"483","La Rocina",7,4,2015,5,1,"Spartium ","junceum",14
"484","La Rocina",7,4,2015,5,1,"Diplotaxis ","virgata",10
"485","La Rocina",7,4,2015,5,1,"Malcomia","lacera",13
"486","La Rocina",7,4,2015,5,1,"Rosmarinus","officinalis",31
"487","La Rocina",7,4,2015,5,2,"Spartium ","junceum",2
"488","La Rocina",7,4,2015,5,2,"Diplotaxis ","virgata",1
"489","La Rocina",7,4,2015,5,2,"Malcomia","lacera",7
"490","La Rocina",7,4,2015,5,3,"Halimium ","commutatum",8
"491","La Rocina",7,4,2015,5,3,"Diplotaxis ","virgata",4
"492","La Rocina",7,4,2015,5,3,"Malcomia","lacera",55
"493","La Rocina",7,4,2015,5,3,"Lavandula","pedunculata",20
"494","La Rocina",7,4,2015,5,4,"Malcomia","lacera",7
"495","La Rocina",7,4,2015,5,4,"Diplotaxis ","virgata",6
"496","La Rocina",7,4,2015,5,4,"Leucojum ","autumnale",2
"497","La Rocina",7,4,2015,5,5,"Halimium ","commutatum",15
"498","La Rocina",7,4,2015,5,5,"Diplotaxis ","virgata",4
"499","La Rocina",7,4,2015,5,5,"Malcomia","lacera",13
"500","La Rocina",7,4,2015,5,5,"Lavandula","pedunculata",10
"501","La Rocina",7,4,2015,5,6,"Malcomia","lacera",107
"502","La Rocina",7,4,2015,5,6,"Linaria","viscosa",1
"503","La Rocina",7,4,2015,5,6,"Spartium ","junceum",10
"504","La Rocina",7,4,2015,5,6,"Lavandula","pedunculata",19
"505","La Rocina",7,4,2015,5,7,"Malcomia","lacera",59
"506","La Rocina",7,4,2015,5,7,"Lavandula","pedunculata",9
"507","La Rocina",7,4,2015,5,7,"Halimium ","commutatum",1
"508","La Rocina",7,4,2015,5,8,"Malcomia","lacera",64
"509","La Rocina",7,4,2015,5,8,"Spartium ","junceum",13
"510","La Rocina",7,4,2015,5,9,"Spartium ","junceum",70
"511","La Rocina",7,4,2015,5,9,"Lavandula","pedunculata",44
"512","La Rocina",7,4,2015,5,9,"Malcomia","lacera",185
"513","La Rocina",7,4,2015,5,9,"Diplotaxis ","virgata",11
"514","La Rocina",7,4,2015,5,10,"Spartium ","junceum",45
"515","La Rocina",7,4,2015,5,10,"Malcomia","lacera",23
"516","La Rocina",7,4,2015,5,10,"Linaria","viscosa",1
"517","La cuña",7,4,2015,5,1,"Echium ","plantagineum",3
"518","La cuña",7,4,2015,5,2,"Arctotheca","calendula",1
"519","La cuña",7,4,2015,5,2,"Leucojum ","autumnale",1
"520","La cuña",7,4,2015,5,2,"Echium","plantagineum",4
"521","La cuña",7,4,2015,5,3,"Linum ","bienne",1
"522","La cuña",7,4,2015,5,4,"Cistus ","salvifolius",3
"523","La cuña",7,4,2015,5,4,"Leucojum ","autumnale",1
"524","La cuña",7,4,2015,5,8,"Leucojum ","autumnale",4
