"","Site_ID","Round","Plant_gen_sp","Pollinator_gen_sp","Out","Pollinator_id","Pollinator_sex","Frequency"
"33","Bonares",1,"Cistus ladanifer","Ceratina cucurbitina","transect","BF12","male",1
"34","Niebla",1,"Asphodelus fistulosus","Apis mellifera","transect","no_captured","worker",7
"35","ConventodelaLuz",1,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",51
"36","Urbanizaciones",1,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",24
"37","Urbanizaciones",1,"Rosmarinus officinalis","Xylocopa cantabrita","transect","BF13","male",1
"38","Urbanizaciones",1,"Rosmarinus officinalis","Andrena vulpecula","transect","BF14","male",1
"39","Urbanizaciones",1,"Ulex australis","Apis mellifera","transect","no_captured","worker",3
"40","Aznalcazar",2,"Asphodelus fistulosus","Apis mellifera","transect","no_captured","worker",19
"41","Aznalcazar",2,"Teucrium fruticans","Apis mellifera","transect","no_captured","worker",18
"42","Aznalcazar",2,"Teucrium fruticans","Bombus terrestris","transect","BF200","worker",17
"43","Aznalcazar",2,"Teucrium fruticans","Anthophora sp","transect","no_captured",NA,3
"44","Aznalcazar",2,"Teucrium fruticans","Macroglossum stellatarum","transect","no_captured",NA,1
"45","Aznalcazar",2,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",2
"46","Villamanriquesur",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",21
"47","Villamanriqueeste",1,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",41
"48","Villamanriqueeste",1,"Rosmarinus officinalis","Anthophora sp","transect","no_captured",NA,4
"49","Villamanriqueeste",1,"Cistus ladanifer","Oxythyrea funesta","transect","BF523",NA,1
"50","PinaresdeHinojos",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",2
"51","CotitodeSantaTeresa",2,"Astragalus lusitanicus","Anthophora hispanica","transect","BF602","male",2
"52","CotitodeSantaTeresa",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",6
"53","CotitodeSantaTeresa",2,"Lavandula stoechas","Lasioglossum sp","transect","no_captured",NA,1
"54","CotitodeSantaTeresa",2,"Rosmarinus officinalis","Nomada agrestis","transect","BF352","female",2
"55","CotitodeSantaTeresa",2,"Astragalus lusitanicus","Anthophora hispanica","transect","BF590","male",7
"56","CotitodeSantaTeresa",2,"Astragalus lusitanicus","Anthophora aestivalis","transect","BF593","male",3
"57","Lasmulas",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",68
"58","Lasmulas",2,"Rosmarinus officinalis","Bombylius torquatus","transect","BF355","female",4
