"","Site_ID","Round","Plant_gen_sp","Pollinator_gen_sp","Out","Pollinator_id","Pollinator_sex","Frequency"
"298","Lasmulas",4,"Rosmarinus officinalis","Xylocopa cantabrita","transect","no_captured",NA,19
"299","Lasmulas",4,"Lavandula stoechas","Xylocopa cantabrita","transect","no_captured",NA,9
"300","Lasmulas",4,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",29
"301","Lasmulas",4,"Lavandula stoechas","Eucera sp","transect","PERDIDO","female",3
"302","Elpinar",3,"Cistus albidus","Andrena nigroaenaea","transect","BF271","female",3
"303","Elpinar",3,"Lavandula stoechas","Bombus terrestris","transect","BF212","worker",2
"304","Elpinar",3,"Cistus albidus","Apis mellifera","transect","no_captured","worker",5
"305","Elpinar",3,"Cistus salvifolius","Psilothrix viridicoerulea","transect","BF533",NA,2
"306","Elpinar",3,"Cistus albidus","Psilothrix viridicoerulea","transect","BF534",NA,1
"307","Elpinar",3,"Cistus albidus","Bombus terrestris","transect","BF213","worker",15
"308","Elpinar",3,"Cistus albidus","Empis tessellata","transect","BF388","female",4
"309","Villamanriqueeste",3,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",11
"310","Villamanriqueeste",3,"Cistus salvifolius","Psilothrix viridicoerulea","transect","no_captured",NA,5
"311","Villamanriqueeste",3,"Cistus ladanifer","Dasypoda crassicornis","transect","BF117","male",3
"312","Villamanriqueeste",3,"Cistus ladanifer","Andrena fertoni","transect","BF280",NA,2
"313","Villamanriqueeste",3,"Cistus ladanifer","Xylocopa cantabrita","transect","BF196","male",1
"314","Villamanriqueeste",3,"Cistus ladanifer","Musca sp","transect","no_captured",NA,1
"315","Niebla",5,"Linaria viscosa","Bombylius sp","transect","no_captured",NA,1
"316","Niebla",5,"Cistus monspeliensis","Merodon sp","transect","no_captured",NA,5
"317","Niebla",5,"Linum bienne","Bombylius fimbriatus","transect","BF381","male",2
"318","Niebla",5,"Linum bienne","Ceratina callosa","transect","BF187","female",2
"319","Niebla",5,"Linaria viscosa","Heliotaurus ruficollis","transect","BF476",NA,3
"320","Niebla",5,"Cistus ladanifer","Potosia cuprea","transect","BF695",NA,1
"321","Bonares",5,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",42
"322","Bonares",5,"Lavandula stoechas","Bombylius sp","transect","no_captured",NA,2
"323","Bonares",5,"Lavandula stoechas","Bombus terrestris","transect","BF211","worker",3
"324","Bonares",5,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",4
"325","Esparragal",5,"Lavandula pedunculata","Apis mellifera","transect","no_captured","worker",3
"326","Esparragal",5,"Cistus salvifolius","Lasioglossum bimaculatus","transect","BF41","female",1
"327","Esparragal",5,"Cistus salvifolius","Lasioglossum bimaculatus","transect","BF43","female",2
"328","Esparragal",5,"Cistus salvifolius","Lasioglossum malachurum","transect","BF47","female",1
"329","Esparragal",5,"Cistus salvifolius","Lasioglossum leucozonium","transect","BF55",NA,3
"330","Esparragal",5,"Cistus salvifolius","Andrena sp","transect","no_captured",NA,1
"331","LaRocina",5,"Lavandula pedunculata","Apis mellifera","transect","no_captured",NA,26
"332","LaRocina",5,"Lavandula pedunculata","Rhyncomyia cuprea","transect","BF397","female",3
"333","LaRocina",5,"Lavandula pedunculata","Anthophora retusa","transect","BF715","male",1
"334","LaRocina",5,"Diplotaxis virgata","Colletes acutus","transect","BF716","female",2
"335","LaRocina",5,"Spartium junceum","Apis mellifera","transect","no_captured","worker",12
"336","LaRocina",5,"Lavandula pedunculata","Helophilus trivittatus","transect","no_captured","male",2
"337","LaRocina",5,"Diplotaxis virgata","Syrphidae NA","transect","no_captured",NA,2
"338","LaRocina",5,"Lavandula pedunculata","Anthophora bimaculata","transect","BF615","male",5
"339","LaRocina",5,"Lavandula pedunculata","Arachnospila morpho1","transect","BF656",NA,1
"340","LaCunya",5,"Lavandula pedunculata","Apis mellifera","transect","no_captured","worker",21
"341","LaCunya",5,"Raphanus raphanistrum","Colletes sp","out","no_captured",NA,1
"342","LaCunya",5,"Raphanus raphanistrum","Andrena sp","out","no_captured",NA,1
"343","LaCunya",5,"Cistus salvifolius","Heliotaurus ruficollis","transect","BF478",NA,2
"344","Lasmulas",5,"Cistus ladanifer","Andrena flavipes","transect","BF277","female",2
"345","Lasmulas",5,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",17
"346","Lasmulas",5,"Lavandula stoechas","Anthophora dispar","transect","BF605","female",5
"347","Lasmulas",5,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",8
"348","Lasmulas",5,"Ranunculus sp","Panurgus calcaratus","transect","BF227","male",1
"349","Lasmulas",5,"Ranunculus sp","Panurgus dargius","transect","BF236","male",1
"350","Lasmulas",5,"Ranunculus sp","Andrena rhyssonota","transect","BF107","male",1
"351","Lasmulas",5,"Cistus ladanifer","Empis sp","transect","no_captured",NA,1
"352","Lasmulas",5,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",6
"353","Villamanriqueeste",4,"Genista hirsuta","Apis mellifera","transect","no_captured","worker",15
"354","Villamanriqueeste",4,"Rosmarinus officinalis","Panurgus dargius","transect","BF258","male",4
"355","Villamanriqueeste",4,"Cistus salvifolius","Dasypoda crassicornis","transect","BF129","male",2
"356","Villamanriqueeste",4,"Cistus salvifolius","Andrena flavipes","transect","BF278","male",5
"357","Villamanriqueeste",4,"Spartium junceum","Apis mellifera","transect","no_captured","worker",6
"358","Villamanriqueeste",4,"Cistus salvifolius","Dasypoda albimana","transect","BF134","female",1
"359","Villamanriqueeste",4,"Cistus salvifolius","Helophilus sp","transect","no_captured",NA,2
"360","Villamanriqueeste",4,"Cistus salvifolius","Episyrphus balteatus","transect","BF423","female",2
"361","Villamanriqueeste",4,"Cistus salvifolius","Bombylella atra","transect","BF383","male",1
"362","Villamanriqueeste",4,"Cistus ladanifer","Lasioglossum sp","transect","no_captured",NA,1
"363","Villamanriqueeste",4,"Cistus salvifolius","Nomada sp","out","no_captured",NA,1
"364","Villamanriqueeste",4,"Cistus salvifolius","Nomada sp","out","no_captured",NA,1
"365","Villamanriqueeste",4,"Cistus salvifolius","Panurgus calcaratus","out","BF329","female",1
"366","Villamanriqueeste",4,"Cistus salvifolius","Panurgus dargius","transect","BF264","male",7
"367","Villamanriquesur",5,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",56
"368","Villamanriquesur",5,"Cistus salvifolius","Sphaerophoria scripta","transect","BF412","female",4
"369","Villamanriquesur",5,"Cistus salvifolius","Dasypoda iberica","transect","BF135","male",2
"370","Villamanriquesur",5,"Genista hirsuta","Apis mellifera","transect","no_captured","worker",8
"371","Villamanriquesur",5,"Cistus salvifolius","Bibio sp","transect","no_captured",NA,6
"372","Villamanriquesur",5,"Cistus salvifolius","Eristalinus taeniops","transect","BF426","male",3
"373","Aznalcazar",5,"Cistus monspeliensis","Apis mellifera","transect","no_captured","worker",3
"374","Aznalcazar",5,"Cistus monspeliensis","Andrena flavipes","transect","BF146","female",2
"375","Aznalcazar",5,"Teucrium fruticans","Apis mellifera","transect","no_captured","worker",3
"376","Aznalcazar",5,"Teucrium fruticans","Xylocopa cantabrita","transect","no_captured","male",5
"377","Aznalcazar",5,"Teucrium fruticans","Xylocopa cantabrita","transect","no_captured","female",4
"378","Aznalcazar",5,"Teucrium fruticans","Rhyncomyia cuprea","transect","BF405",NA,1
"379","Aznalcazar",5,"Teucrium fruticans","Anthophora dispar","transect","BF604","female",2
"380","Aznalcazar",5,"Cistus salvifolius","Merodon sp","transect","no_captured",NA,2
"381","Aznalcazar",5,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",3
"382","Aznalcazar",5,"Cistus salvifolius","Xylocopa cantabrita","transect","no_captured",NA,1
"383","Aznalcazar",5,"Teucrium fruticans","Dasypoda crassicornis","transect","BF106","male",1
"384","Aznalcazar",5,"Teucrium fruticans","Cerceris sabulosa","transect","BF717","male",2
"385","Urbanizaciones",5,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",7
"386","Urbanizaciones",5,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",4
"387","Urbanizaciones",5,"Cistus salvifolius","Eristalis tenax","transect","no_captured",NA,2
"388","Urbanizaciones",5,"Cistus salvifolius","Dasypoda sp","transect","no_captured",NA,1
"389","Urbanizaciones",5,"Tuberaria guttata","Dasypoda sp","transect","no_captured",NA,1
"390","Urbanizaciones",5,"Cistus salvifolius","Lasioglossum albocinctum","transect","BF46","female",3
"391","Urbanizaciones",5,"Cistus salvifolius","Eucera sp","transect","PERDIDO","female",2
"392","ConventodelaLuz",5,"Cistus salvifolius","Chasmatopterus villosulus","transect","BF496",NA,5
"393","ConventodelaLuz",5,"Teucrium fruticans","Apis mellifera","transect","no_captured","worker",3
"394","ConventodelaLuz",5,"Teucrium fruticans","Syrphidae NA","transect","no_captured",NA,1
"395","ConventodelaLuz",5,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",26
"396","ConventodelaLuz",5,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",12
"397","ConventodelaLuz",5,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",4
"398","ConventodelaLuz",5,"Cistus ladanifer","Exosoma lusitanicum","transect","BF484",NA,1
"399","Pinodelcuervo",5,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",4
"400","Pinodelcuervo",5,"Ranunculus sp","Merodon sp","transect","no_captured",NA,2
"401","Pinodelcuervo",5,"Cistus salvifolius","Bombylella atra","transect","BF364","male",1
"402","Pinodelcuervo",5,"Cistus salvifolius","Xylocopa cantabrita","transect","no_captured",NA,3
"403","Pinodelcuervo",5,"Cistus salvifolius","Nomada merceti","out","BF341","male",3
"404","Pinodelcuervo",5,"Cistus ladanifer","Panurgus sp","out","no_captured",NA,1
"405","Elpozo",5,"Cistus salvifolius","Andrena hispania","transect","no_captured",NA,1
"406","Elpozo",5,"Cistus salvifolius","Heliotaurus ruficollis","transect","BF477",NA,2
"407","Elpozo",5,"Erica umbellata","Apis mellifera","transect","no_captured","worker",5
"408","Elpozo",5,"Cistus salvifolius","Merodon sp","transect","PERDIDO",NA,1
"409","Elpozo",5,"Cistus salvifolius","Panurgus sp","transect","no_captured",NA,2
"410","Elpozo",5,"Cistus salvifolius","Colletes nigricans","transect","BF170","male",1
"411","Elpozo",5,"Cistus salvifolius","Andrena sp","transect","no_captured",NA,1
"412","Elpozo",5,"Cistus salvifolius","Lasioglossum sp","out","no_captured",NA,1
"413","Elpozo",5,"Cistus salvifolius","Musca sp","transect","PERDIDO",NA,1
"414","Elpozo",5,"Cistus salvifolius","Psilothrix viridicoerulea","transect","BF532",NA,1
"415","PinaresdeHinojos",5,"Cistus salvifolius","Lasioglossum malachurum","transect","BF52","female",2
"416","PinaresdeHinojos",5,"Cistus salvifolius","Lasioglossum bimaculatus","transect","BF54","female",1
"417","PinaresdeHinojos",5,"Cistus salvifolius","Lasioglossum sp","transect","PERDIDO",NA,3
"418","CotitodeSantaTeresa",5,"Lavandula stoechas","Eucera sp","transect","no_captured",NA,6
"419","CotitodeSantaTeresa",5,"Lavandula stoechas","Apis mellifera","transect","no_captured",NA,5
"420","CotitodeSantaTeresa",5,"Cistus salvifolius","Nomada sp","transect","no_captured",NA,1
"421","CotitodeSantaTeresa",5,"Lavandula stoechas","Xylocopa cantabrita","transect","no_captured",NA,7
"422","Elpinar",4,"Lavandula stoechas","Apis mellifera","transect","no_captured",NA,3
"423","Elpinar",4,"Lavandula stoechas","Lestica clypeata","transect","BF704","male",1
"424","Esparragal",6,"Lavandula pedunculata","Apis mellifera","transect","no_captured","worker",2
"425","Esparragal",6,"Cistus libanotis","Episyrphus balteatus","transect","no_captured",NA,1
"426","Esparragal",6,"Linaria viscosa","Heriades crenulatus","out","BF295","female",1
"427","Esparragal",6,"Linaria viscosa","Andrena nitidiuscula","out","BF298","male",1
"428","Esparragal",6,"Linaria viscosa","Andrena cinerea","out","BF299","female",1
"429","Esparragal",6,"Lavandula pedunculata","Anthophora atroalba","transect","BF606","female",1
"430","Esparragal",6,"Cistus libanotis","Dasypoda sp","transect","no_captured",NA,1
"431","Esparragal",6,"Cistus salvifolius","Chasmatopterus illigeri","transect","BF495",NA,2
"432","Esparragal",6,"Cistus salvifolius","Cerocoma schaefferi","out","BF501",NA,1
"433","Esparragal",6,"Cistus salvifolius","Cerocoma schaefferi","out","BF502",NA,1
"434","LaCunya",6,"Cistus salvifolius","Apis mellifera","transect","no_captured",NA,11
"435","LaCunya",6,"Lavandula pedunculata","Apis mellifera","transect","no_captured",NA,12
"436","LaCunya",6,"Leontodon longirostris","Dasypoda cingulata","transect","BF718","female",1
"437","LaCunya",6,"Erica ciliaris","Andrena rhyssonota","transect","BF113","male",2
"438","LaCunya",6,"Cistus salvifolius","Pseudoanthidium melanorum","transect","BF626","female",2
"439","LaCunya",6,"Cistus salvifolius","Ceratina cucurbitina","transect","BF181","female",1
"440","LaCunya",6,"Cistus salvifolius","Eucera alternans","out","BF566","female",1
"441","LaRocina",6,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",2
"442","LaRocina",6,"Lavandula pedunculata","Apis mellifera","transect","no_captured","worker",8
"443","LaRocina",6,"Lavandula pedunculata","Dischistus morpho1","transect","BF367","male",1
"444","LaRocina",6,"Lavandula pedunculata","Xylocopa cantabrita","transect","no_captured",NA,6
"445","LaRocina",6,"Lavandula pedunculata","Xylocopa cantabrita","transect","no_captured",NA,3
"446","LaRocina",6,"Linaria viscosa","Dischistus senex","transect","BF368","female",1
"447","LaRocina",6,"Lavandula pedunculata","Helophilus trivittatus","transect","no_captured",NA,4
"448","LaRocina",6,"Lavandula pedunculata","Dasypoda cingulata","transect","no_captured","female",3
"449","LaRocina",6,"Lavandula pedunculata","Helophilus trivittatus","transect","no_captured",NA,1
"450","LaRocina",6,"Lavandula pedunculata","Ceratina sp","transect","no_captured",NA,1
"451","LaRocina",6,"Lavandula pedunculata","Xylocopa cantabrita","transect","BF614",NA,1
"452","LaRocina",6,"Lavandula pedunculata","Episyrphus balteatus","transect","BF411","female",1
"453","LaRocina",6,"Cistus salvifolius","Panurgus banksianus","transect","BF238","male",8
"454","Aznalcazar",6,"Cistus crispus","Apis mellifera","transect","no_captured",NA,5
"455","Aznalcazar",6,"Cistus crispus","Xylocopa cantabrita","transect","no_captured","male",2
"456","Aznalcazar",6,"Cistus monspeliensis","Xylocopa cantabrita","transect","no_captured","male",1
"457","Aznalcazar",6,"Cistus monspeliensis","Merodon sp","transect","no_captured",NA,5
"458","Aznalcazar",6,"Cistus monspeliensis","Syrphidae NA","transect","PERDIDO",NA,6
"459","Aznalcazar",6,"Cistus monspeliensis","Dasypoda crassicornis","transect","BF133","male",2
"460","Aznalcazar",6,"Cistus monspeliensis","Volucella elegans","transect","BF422","female",3
"461","Aznalcazar",6,"Cistus crispus","Myathropa florea","out","BF434","male",3
"462","Aznalcazar",6,"Echium plantagineum","Hoplitis adunca","transect","BF635","female",1
"463","Aznalcazar",6,"Echium plantagineum","Macroglossum stellatarum","transect","no_captured",NA,3
"464","Aznalcazar",6,"Cistus crispus","Apis mellifera","transect","no_captured","worker",5
"465","Aznalcazar",6,"Cistus crispus","Dasypoda argentata","transect","BF108","female",1
"466","Aznalcazar",6,"Cistus crispus","Anthophora aestivalis","out","BF588","female",4
"467","Aznalcazar",6,"Cistus crispus","Eucera hispaliensis","transect","no_captured",NA,3
"468","Aznalcazar",6,"Cistus crispus","Dasypoda cingulata","transect","BF131","female",4
"469","Aznalcazar",6,"Cistus crispus","Dasypoda argentata","out","BF123","female",1
"470","Aznalcazar",6,"Cistus crispus","Dasypoda sp","out","no_captured",NA,1
"471","Villamanriquesur",6,"Cistus crispus","Apis mellifera","transect","no_captured","worker",19
"472","Villamanriquesur",6,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",3
"473","Villamanriquesur",6,"Cistus salvifolius","Panurgus dargius","transect","BF265","male",5
"474","Villamanriquesur",6,"Halimium halimifolium","Dasypoda cingulata","transect","BF132","male",1
"475","Villamanriquesur",6,"Cistus crispus","Andrena nigroaenaea","transect","BF109","female",3
"476","Villamanriquesur",6,"Cistus crispus","Andrena flavipes","transect","no_captured",NA,3
"477","Villamanriquesur",6,"Armeria velutina","Dasypoda cingulata","transect","BF110","male",1
"478","Villamanriqueeste",5,"Cistus crispus","Apis mellifera","transect","no_captured","worker",24
"479","Villamanriqueeste",5,"Cistus crispus","Cerceris arenaria","out","BF347","male",2
"480","Villamanriqueeste",5,"Cistus crispus","Andrena hispania","transect","BF293","male",5
"481","Villamanriqueeste",5,"Cistus crispus","Andrena hispania","transect","BF294","male",2
"482","Villamanriqueeste",5,"Cistus crispus","Panurgus banksianus","transect","BF229","male",1
"483","Villamanriqueeste",5,"Cistus crispus","Eumenes coarctatus","transect","BF676","female",2
"484","Villamanriqueeste",5,"Cistus crispus","Eucera collaris","transect","BF547","female",1
"485","Villamanriqueeste",5,"Cistus crispus","Dasypoda cingulata","transect","BF124","female",2
"486","Lasmulas",6,"Echium plantagineum","Andrena nigroaenaea","transect","BF321","female",2
"487","Lasmulas",6,"Cistus salvifolius","Heliotaurus ruficollis","transect","no_captured",NA,2
"488","Lasmulas",6,"Cistus crispus","Apis mellifera","transect","no_captured","worker",5
"489","Lasmulas",6,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",3
"490","Lasmulas",6,"Cistus monspeliensis","Mycterus curculioides","transect","BF514",NA,2
"491","Lasmulas",6,"Cistus monspeliensis","Lasioglossum imminutus","transect","BF62","female",1
"492","Niebla",6,"Cistus monspeliensis","Apis mellifera","transect","no_captured","worker",4
"493","Niebla",6,"Cistus monspeliensis","Andrena flavipes","transect","BF284","female",2
"494","Niebla",6,"Thapsia villosa","Macrophya montana","transect","BF174","female",6
"495","Niebla",6,"Thapsia villosa","Macrophya montana","transect","BF175","female",6
"496","Niebla",6,"Convolvulus arvensis","Usia morpho1","transect","BF358","female",2
"497","Niebla",6,"Convolvulus arvensis","Heriades crenulatus","transect","BF637","male",3
"498","Niebla",6,"Carduus sp","Eucera collaris","transect","BF570","female",1
"499","Niebla",6,"Convolvulus arvensis","Usia morpho1","out","BF370","female",3
"500","Niebla",6,"Thapsia villosa","Usia sp","transect","no_captured",NA,2
"501","Niebla",6,"Thapsia villosa","Andrena labialis","transect","BF292","male",3
"502","Niebla",6,"Thapsia villosa","Usia morpho2","transect","BF366","female",1
"503","Niebla",6,"Convolvulus arvensis","Rhodanthidium sticticum","transect","BF625","male",2
"504","Niebla",6,"Arctotheca calendula","Lasioglossum sp","transect","no_captured",NA,3
"505","Niebla",6,"Cistus monspeliensis","Heliotaurus ruficollis","transect","no_captured",NA,2
"506","Niebla",6,"Cistus monspeliensis","Macrophya montana","transect","BF176","female",1
"507","Niebla",6,"Convolvulus arvensis","Episyrphus balteatus","transect","BF417","female",4
"508","Niebla",6,"Phlomis purpurea","Vespula germanica","transect","BF650","worker",1
"509","Niebla",6,"Convolvulus arvensis","Andrena ovatula","transect","PERDIDO",NA,1
"510","Niebla",6,"Thapsia villosa","Andrena rhyssonota","transect","BF304","male",1
"511","Niebla",6,"Convolvulus arvensis","Usia morpho1","transect","BF365","female",2
"512","Niebla",6,"Lavandula stoechas","Eucera notata","transect","BF575","female",1
"513","Bonares",6,"Cistus crispus","Anthidium septemspinosum","transect","BF627","male",4
"514","Bonares",6,"Cistus crispus","Apis mellifera","transect","no_captured","worker",10
"515","Bonares",6,"Cistus crispus","Megachile sp","transect","no_captured","female",3
"516","Bonares",6,"Thapsia villosa","Colletes ligatus","transect","BF166","male",3
"517","Bonares",6,"Thapsia villosa","Andrena ovatula","transect","BF305","female",2
"518","Bonares",6,"Thapsia villosa","Colletes acutus","transect","BF156","female",2
"519","Bonares",6,"Thapsia villosa","Dasypoda hirtipes","transect","BF111","female",1
"520","Bonares",6,"Thapsia villosa","Colletes ligatus","transect","BF158","male",NA
"521","Bonares",6,"Andryala integrifolia","Andrena vulpecula","transect","BF301","male",2
"522","Bonares",6,"Thapsia villosa","Ancistrocerus biphaleratus","transect","BF693","female",1
"523","ConventodelaLuz",6,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",4
"524","ConventodelaLuz",6,"Halimium halimifolium","Xylocopa cantabrita","transect","no_captured","female",6
"525","ConventodelaLuz",6,"Teucrium fruticans","Xylocopa cantabrita","transect","no_captured",NA,3
"526","ConventodelaLuz",6,"Cistus crispus","Xylocopa cantabrita","transect","no_captured",NA,4
"527","ConventodelaLuz",6,"Halimium halimifolium","Vespula germanica","transect","BF652","female",1
"528","ConventodelaLuz",6,"Halimium halimifolium","Ichneumonidae morpho1","transect","BF680",NA,1
"529","ConventodelaLuz",6,"Halimium halimifolium","Ammophila heydeni","transect","BF679","male",3
"530","Urbanizaciones",6,"Cistus crispus","Apis mellifera","transect","no_captured","worker",5
"531","Urbanizaciones",6,"Cistus crispus","Flavipanurgus venustus","transect","BF246","male",5
"532","Urbanizaciones",6,"Cistus crispus","Flavipanurgus venustus","transect","BF249","male",3
"533","Urbanizaciones",6,"Cistus crispus","Flavipanurgus venustus","transect","PERDIDO","male",5
"534","Elpinar",5,"Diplotaxis virgata","Lasioglossum malachurum","out","BF80","female",5
"535","Elpinar",5,"Chamaemelum fuscatum","Lasioglossum malachurum","out","BF81","female",1
"536","Elpinar",5,"Chamaemelum fuscatum","Systropha planidens","out","BF92","male",2
"537","Elpinar",5,"Andryala integrifolia","Systropha planidens","out","BF93","male",3
"538","Elpinar",5,"Convolvulus arvensis","Systropha planidens","out","BF94","male",1
"539","Elpinar",5,"Convolvulus arvensis","Systropha planidens","out","BF96","male",2
"540","Elpinar",5,"Convolvulus arvensis","Andrena vulpecula","out","BF319","male",1
"541","Elpinar",5,"Convolvulus arvensis","Andrena angustior","out","BF332","male",1
"542","Elpinar",5,"Convolvulus arvensis","Andrena tenuistriata","out","BF331","male",1
"543","Elpinar",5,"Cistus salvifolius","Andrena rhyssonota","out","BF308","male",1
"544","Elpinar",5,"Convolvulus arvensis","Bombylius morpho2","out","BF376","male",2
"545","Elpinar",5,"Convolvulus arvensis","Chasmatopterus villosulus","out","BF469",NA,1
"546","PinaresdeHinojos",6,"Cistus salvifolius","Psilothrix viridicoerulea","transect","no_captured",NA,4
"547","PinaresdeHinojos",6,"Cistus salvifolius","Nomada melathoracica","transect","BF344","female",2
"548","PinaresdeHinojos",6,"Cistus libanotis","Colletes sp","transect","no_captured",NA,3
"549","PinaresdeHinojos",6,"Cistus libanotis","Bombus terrestris","transect","BF219","worker",2
"550","PinaresdeHinojos",6,"Cistus libanotis","Xylocopa cantabrita","transect","no_captured",NA,1
"551","PinaresdeHinojos",6,"Cistus salvifolius","Dasypoda crassicornis","transect","BF136","female",2
"552","CotitodeSantaTeresa",6,"Thapsia villosa","Apis mellifera","transect","no_captured","worker",3
"553","CotitodeSantaTeresa",6,"Thapsia villosa","Lasioglossum malachurum","transect","BF78","female",1
"554","CotitodeSantaTeresa",6,"Cistus salvifolius","Eucera codinai","transect","BF578","male",2
"555","CotitodeSantaTeresa",6,"Cistus crispus","Lasioglossum albocinctum","transect","BF67","female",3
"556","CotitodeSantaTeresa",6,"Thapsia villosa","Heriades crenulatus","transect","BF690","female",2
"557","CotitodeSantaTeresa",6,"Cistus crispus","Apis mellifera","transect","no_captured","worker",5
"558","CotitodeSantaTeresa",6,"Thapsia villosa","Nemotelus morpho1","transect","BF403","male",1
"559","CotitodeSantaTeresa",6,"Thapsia villosa","Musca morpho1","transect","BF404",NA,1
"560","CotitodeSantaTeresa",6,"Cistus crispus","Dasypoda cingulata","transect","BF112","male",1
"561","CotitodeSantaTeresa",6,"Lavandula pedunculata","Lestica clypeata","transect","BF670","male",5
"562","CotitodeSantaTeresa",6,"Cistus crispus","Eucera codinai","transect","BF577","male",4
"563","CotitodeSantaTeresa",6,"Thapsia villosa","Trypoxylon morpho1","transect","BF692","male",2
"564","Pinodelcuervo",6,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",120
"565","Pinodelcuervo",6,"Lavandula stoechas","Systoechus morpho1","transect","BF386","female",6
"566","Pinodelcuervo",6,"Lavandula stoechas","Nomada merceti","transect","BF337","female",2
"567","Pinodelcuervo",6,"Chamaemelum fuscatum","Lomatia morpho1","transect","BF378","female",5
"568","Pinodelcuervo",6,"Cistus crispus","Bombylius sp","transect","no_captured",NA,1
"569","Pinodelcuervo",6,"Cistus crispus","Andrena hispania","transect","PERDIDO","female",2
"570","Pinodelcuervo",6,"Cistus crispus","Ancistrocerus reconditus","transect","BF686",NA,1
"571","Pinodelcuervo",6,"Cistus crispus","Nomada melathoracica","transect","BF345","female",2
"572","Pinodelcuervo",6,"Lavandula stoechas","Nomada sp","transect","no_captured",NA,6
"573","Pinodelcuervo",6,"Cistus crispus","Andrena hispania","transect","BF317","female",2
"574","Pinodelcuervo",6,"Cistus salvifolius","Andrena hispania","transect","BF314","female",4
"575","Pinodelcuervo",6,"Cistus crispus","Ancistrocerus gazella","transect","BF669",NA,1
"576","Pinodelcuervo",6,"Thapsia villosa","Cerceris morpho1","transect","PERDIDO",NA,2
"577","Elpozo",6,"Erica umbellata","Xylocopa violacea","transect","BF697","male",4
"578","Elpozo",6,"Cistus salvifolius","Vespula germanica","out","BF653","female",1
"579","Elpozo",6,"Cistus crispus","Vespidae sp","out","no_captured",NA,1
"580","LaRocina",7,"Anchusa azurea","Dasypoda crassicornis","transect","BF327","male",2
"581","LaRocina",7,"Anchusa azurea","Andrena sp","transect","no_captured",NA,4
"582","LaRocina",7,"Anchusa azurea","Nomada melathoracica","transect","BF346","female",1
"583","LaRocina",7,"Andryala integrifolia","Panurgus sp","transect","no_captured",NA,1
"584","LaRocina",7,"Halimium halimifolium","Andrena sp","transect","no_captured",NA,4
"585","LaRocina",7,"Lavandula pedunculata","Xylocopa cantabrita","transect","no_captured",NA,5
"586","LaRocina",7,"Lavandula pedunculata","Apis mellifera","transect","no_captured","worker",7
"587","LaRocina",7,"Lavandula pedunculata","Lasioglossum malachurum","transect","BF77","female",4
"588","LaRocina",7,"Lavandula pedunculata","Helophilus trivittatus","transect","no_captured","female",5
"589","LaRocina",7,"Lavandula pedunculata","Dasypoda sp","transect","no_captured","male",4
"590","LaRocina",7,"Lavandula pedunculata","Dasypoda cingulata","transect","BF642","female",1
"591","LaRocina",7,"Lavandula pedunculata","Heriades truncorum","transect","BF302","male",2
"592","LaRocina",7,"Lavandula stoechas","Osmia caerulescens","transect","BF303","female",3
"593","Pinodelcuervo",7,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",120
"594","Pinodelcuervo",7,"Lavandula stoechas","Ceratina cucurbitina","transect","BF191","female",4
"595","Pinodelcuervo",7,"Cistus crispus","Apis mellifera","transect","no_captured","worker",5
"596","Pinodelcuervo",7,"Asphodelus fistulosus","Megascolia maculata","transect","BF661","male",1
"597","Pinodelcuervo",7,"Cistus crispus","Bombylius sp","transect","PERDIDO",NA,1
"598","Pinodelcuervo",7,"Cistus crispus","Flavipanurgus venustus","transect","BF240","male",4
"599","Pinodelcuervo",7,"Cistus crispus","Usia sp","transect","no_captured",NA,3
"600","Pinodelcuervo",7,"Lavandula stoechas","Dasypoda cingulata","transect","BF145","female",3
"601","Pinodelcuervo",7,"Lavandula stoechas","Andrena hispania","transect","BF313","female",2
"602","Pinodelcuervo",7,"Cistus crispus","Panurgus cephalotes","transect","BF261","male",3
"603","Urbanizaciones",7,"Cistus crispus","Flavipanurgus venustus","transect","BF247","male",10
"604","Urbanizaciones",7,"Cistus crispus","Flavipanurgus venustus","transect","no_captured","male",11
"605","Urbanizaciones",7,"Cistus crispus","Sphaerophoria scripta","transect","BF418","male",2
"606","Urbanizaciones",7,"Lavandula pedunculata","Apis mellifera","transect","no_captured","worker",6
